Compostos voláteis das cervejas (variáveis independentes),,,,,,Análise sensorial das cervejas (variáveis dependentes),,
geraniol (cis),linalool,myrcene,α-humulene,β-caryophyllene,,citrus,herbal (herbaceous),overall hoppy intensity
108,783,9588,448,993,,,,"4,6"
90,699,2801,135,247,,,,"3,2"
68,527,2018,121,208,,,,"2,6"
62,484,1172,80,136,,,,"1,6"
56,443,875,55,53,,,,"1,5"
186,974,13721,410,606,,,,"4,6"
125,594,2218,136,153,,,,"3,1"
115,582,1327,66,68,,,,"2,5"
85,427,639,44,42,,,,"1,6"
64,321,332,27,26,,,,"1,1"
421,1061,4659,162,269,, ,,"5,0"
337,944,2778,101,157,,,,"4,6"
268,793,2625,93,133,,,,"4,1"
296,943,1678,55,80,,,,"3,0"
292,925,811,45,60,,,,"1,9"
"4,7","70,2","168,1","10,1","1,9",,"1,3","1,0","2,4"
"9,1","102,7",65,"3,1","1,3",,"1,1","1,3","2,4"
"7,6","83,6","40,2","2,2","0,8",,"0,8","1,0","2,2"
"7,8",66,"41,8",1,"0,7",,"1,3","1,1","2,6"
"3,7","58,6","21,5","1,5","0,8",,"0,8","1,3","2,4"
"4,4",45,"17,8","0,9","0,2",,"1,1","0,9","2,4"
"2,5","66,4","52,6","5,8","0,8",,"1,0","1,1","2,2"
,"46,57","19,27","2,49","3,86",,"0,6","0,8","2,1"
,"53,27","40,75","4,36","2,95",,"0,7","1,0","2,5"
,"147,72","35,75","2,43","5,83",,"1,1","0,9","2,9"
,"124,86","33,39","4,87","3,58",,"0,8","0,8","2,5"
12,45,18,"2,5",4,,"0,2","0,8","1,9"
10,61,19,2,3,,"0,5","0,9","2,4"
"3,8","62,4","18,1","0,52","0,07",,,,"1,5"
"3,63",15,14,"0,42","0,06",,,,"1,8"
"3,28","11,6","25,7","0,59","0,1",,,,"2,0"
"2,57","76,8","18,6","0,38","0,09",,,,"1,9"
"2,24","57,5","22,9","0,67","0,07",,,,"2,0"
"1,63","43,3","9,8","0,44","0,04",,,,"1,3"
"5,38","69,6","80,7","1,99","0,19",,,,"1,9"
"5,31","103,5","48,8","1,71","0,25",,,,"2,3"
"2,39","48,9","21,1","2,47","0,26",,,,"2,0"
"1,82","16,3","5,8","0,81","0,12",,,,"1,5"
"2,23","24,3","9,6","1,74","0,19",,,,"1,7"
"2,04","50,69",6,"0,47","1,29",,,,"1,8"
"172,2","1389,9","544,8","36,6","13,9",,"2,7","1,6",
"608,4","1378,8","443,2","24,7","10,1",,"2,8","1,6",
"5,80","79,24","126,07","1,48","3,72",,"0,8","1,7","2,4"
"9,82","141,62","235,81","3,58","9,92",,"1,3","2,0","3,4"
"1,22","163,61","249,75","59,22","30,55",,"1,5","1,5","2,8"
"0,15","48,24","110,46","12,36","5,09",,"0,9","1,5","2,5"
"8,6",84,62,12,"2,8",,"2,2","1,2","2,4"
"10,7",90,124,24,7,,"2,6","1,3","2,7"
"25,6",115,76,27,8,,"3,0","1,8","3,0"
"18,8",95,147,43,"14,9",,"2,8","2,0","3,0"
"19,4",105,98,25,"7,6",,"2,7","2,1","3,2"
"3,1",22,88,19,"6,4",,"1,3","1,4","2,3"
"3,2",24,63,11,3,,"2,0","1,5","2,5"
"6,6",32,85,13,"4,2",,"2,4","1,3","2,6"
8,36,91,15,"5,1",,"1,8","1,0","2,8"
"17,4",36,88,16,"5,9",,"1,7","1,0","3,0"
26,190,100,,,,"1,4","0,8",
30,226,400,,,,"1,1","1,2",
"4,0","48,3","71,5","5,5","9,4",,"0,9","1,1","2,3"
"5,0","72,4","120,7","5,3","8,6",,"1,1","1,1","2,5"
"6,3","108,6","148,1","5,2","8,8",,"1,2","0,9","2,5"
"7,7","193,0","380,9","7,0","12,7",,"1,1","1,3","2,7"
"8,7","132,7","279,7","5,7","9,9",,"1,2","1,4","2,8"
"1,0","12,1","17,4","1,9","3,3",,"1,3","1,6","2,1"
"4,3","43,4","68,8","3,2","6,4",,"1,3","1,7","2,3"
"7,0","98,9","127,2","3,9","8,2",,"1,8","1,9","2,7"
"6,0","103,7","130,2","3,9","8,1",,"1,7","1,6","2,4"
"12,7","207,5","281,7","5,7","11,5",,"2,0","1,8","2,6"
"7,7","50,7","38,7","4,1","7,3",,"0,7","0,7","1,3"
"11,7","67,6","42,3","3,9","7,3",,"0,8","0,9","1,4"
