Hop variety & % rel. Oil,Product Type,min total oil,max total oil,average total oil,min-β-pinene,max-β-pinene,average-β-pinene,min-myrcene,max-myrcene,average-myrcene,min-linalool,max-linalool,average-linalool,min-β-Caryophylene,max-β-Caryophylene,average-β-Caryophylene,min-trans-β-Farnesene,max-trans-β-Farnesene,average-trans-β-Farnesene,min-α-humulene,max-α-humulene,average-α-humulene,min-geraniol,max-geraniol,average-geraniol
Amarillo,T-90/Whole,"1,0","2,5","1,8","0,5","0,9","2,1",45,55,50,"0,4","0,8","0,6",5,8,7,5,8,"6,5",15,20,18,"0,1","0,3","0,2"
Amarillo,Cryo,"1,0","3,5","2,3","0,5","1,0","2,9",45,60,53,"0,4","0,8","0,6",5,8,7,4,7,"5,5",14,20,17,"0,1","0,5","0,3"
Amarillo,American noble,"0,4","1,0","0,7","0,4","0,8","0,9",20,40,30,"0,2","0,6","0,4",7,10,9,5,10,"7,5",18,25,22,"0,2","0,4","0,3"
Aurora,T-90/Whole,"0,9","1,6","1,3","0,5","0,9","1,4",35,45,40,"0,9","1,3","1,1",4,8,6,6,9,"7,5",20,27,24,"0,1","0,4","0,3"
Azacca,T-90/Whole,"1,0","2,0","1,5","0,3","0,7","1,8",35,45,40,"0,2","0,5","0,4",10,14,12,"0,1",1,"0,6",18,24,21,"0,1","0,3","0,2"
Azacca,Cryo,"2,0","4,0","3,0","0,3","0,8","3,5",35,55,45,"0,2","0,6","0,4",7,10,9,"0,1",1,"0,6",12,20,16,"0,1","0,3","0,2"
Azacca,American noble,"0,1","0,5","0,3","0,1","0,4","0,4",10,20,15,"0,1","0,4","0,3",10,14,12,"0,1",1,"0,6",25,30,28,"1,0","3,0","2,0"
Bravo,T-90/Whole,"2,0","3,5","2,8","0,8","1,0","3,1",55,65,60,"0,4","0,6","0,5",5,8,7,"0,1",1,"0,6",7,11,9,"0,4","0,9","0,7"
Brewer's Gold,T-90/Whole,"1,5","3,0","2,3","0,6","0,9","2,6",50,60,55,"0,5","0,8","0,7",8,12,10,"0,1",1,"0,6",12,18,15,"1,0","1,8","1,4"
Cascade,T-90/Whole,"0,8","2,0","1,4","0,5","1,0","1,7",45,60,53,"0,2","0,6","0,4",5,9,7,5,8,"6,5",10,20,15,"0,2","0,4","0,3"
